Z,Symbol,Freq_X,Freq_Y,Freq_Z,Mass,X_Hex,Y_Hex,Zc_Hex,W_Hex,Dim_Class,State
1,H,128.16,16.02,160.21,1.008,0xB210,0x79BE,0x416B,0x8000,2D (Flatland/Surface),Stable
2,He,119.91,14.98,149.89,4.0026,0xAED7,0x7A26,0x4573,0x8000,2D (Flatland/Surface),Closure
3,Li,112.33,14.04,140.42,6.94,0xABE1,0x7A84,0x4926,0x8000,2D (Flatland/Surface),Stable
4,Be,107.28,13.41,134.1,9.0122,0xA9E8,0x7AC3,0x4B9E,0x8000,2D (Flatland/Surface),Stable
5,B,103.08,12.88,128.85,10.81,0xA844,0x7AF8,0x4DAB,0x8000,2D (Flatland/Surface),Stable
6,C,100.36,12.54,125.45,12.011,0xA734,0x7B1A,0x4EFF,0x8000,2D (Flatland/Surface),Stable
7,N,96.01,12.0,120.01,14.007,0xA581,0x7B50,0x511F,0x8000,2D (Flatland/Surface),Stable
8,O,91.85,11.48,114.81,15.999,0xA3E1,0x7B84,0x5327,0x8000,2D (Flatland/Surface),Stable
9,F,85.93,10.74,107.41,18.998,0xA191,0x7BCE,0x560B,0x8000,2D (Flatland/Surface),Stable
10,Ne,83.7,10.46,104.63,20.18,0xA0B2,0x7BEA,0x5721,0x8000,2D (Flatland/Surface),Closure
11,Na,78.63,9.82,98.29,22.99,0x9EB7,0x7C2A,0x599B,0x8000,2D (Flatland/Surface),Stable
12,Mg,76.37,9.54,95.46,24.305,0x9DD5,0x7C46,0x5AB6,0x8000,2D (Flatland/Surface),Stable
13,Al,71.96,8.99,89.95,26.982,0x9C1C,0x7C7D,0x5CDD,0x8000,2D (Flatland/Surface),Stable
14,Si,70.22,8.77,87.77,28.085,0x9B6E,0x7C93,0x5DB7,0x8000,2D (Flatland/Surface),Stable
15,P,65.85,8.23,82.31,30.974,0x99B9,0x7CC9,0x5FD9,0x8000,2D (Flatland/Surface),Stable
16,S,64.28,8.03,80.35,32.06,0x991C,0x7CDD,0x609D,0x8000,2D (Flatland/Surface),Stable
17,Cl,59.61,7.45,74.52,35.45,0x9749,0x7D17,0x62E4,0x8000,2D (Flatland/Surface),Stable
18,Ar,53.94,6.74,67.43,39.95,0x9512,0x7D5E,0x65A9,0x8000,2D (Flatland/Surface),Closure
19,K,54.97,6.87,68.72,39.098,0x9579,0x7D51,0x6528,0x8000,2D (Flatland/Surface),Stable
